TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
0.007554239769276148,2023-04-11 16:29:14,1,36,0,0.8387096774193548,0,0.24482758620689654,0.0,0.336789508321911,2024-11-04 08:08:08,2
0.2053682623609867,2023-06-27 16:44:19,1,15,0,0.8064516129032258,0,0.45172413793103444,0.0,0.9180493943514934,2024-11-04 08:09:35,0
0.06884026306014988,2023-07-10 18:16:08,1,23,2,0.016129032258064557,3,0.1586206896551724,0.0,0.06857787048620612,2024-11-04 08:07:04,1
0.10063580152504971,2023-05-05 16:32:11,1,33,2,0.12903225806451613,3,0.05172413793103449,0.0,0.5691704440570887,2024-11-04 08:09:06,0
0.050192269876990984,2023-04-03 17:15:01,1,28,0,0.0,3,0.5586206896551724,0.0,0.045676901865379926,2024-11-04 08:06:36,1
0.0037252288667001684,2023-02-15 16:36:48,0,39,0,0.30645161290322587,0,0.44482758620689655,0.0,0.8883232419925262,2024-11-04 08:10:09,0
0.09349122768686229,2023-05-08 17:47:59,0,16,1,0.7903225806451613,2,0.9689655172413792,0.0,0.18110231456615078,2024-11-04 08:10:55,2
0.05788306495663004,2023-03-21 16:59:46,0,11,1,0.532258064516129,1,0.26206896551724135,0.0,0.6045352885460201,2024-11-04 08:11:14,0
0.4455526666521008,2023-03-31 16:06:57,1,26,0,0.5967741935483871,0,0.3793103448275862,0.0,0.06182394346787634,2024-11-04 08:06:32,2
0.009569796150232693,2023-03-14 16:46:10,0,0,2,0.5483870967741935,1,0.16896551724137931,0.0,0.5039947458252638,2024-11-04 08:06:45,0
0.10365094277786276,2023-02-06 17:30:00,1,22,2,0.04838709677419356,3,0.5620689655172414,0.0,0.09590146136776602,2024-11-04 08:07:12,1
0.2699753107998864,2023-06-07 17:21:28,0,23,1,0.09677419354838712,3,0.3482758620689655,0.0,0.10203290043755661,2024-11-04 08:08:38,1
0.42687190019445476,2023-11-20 16:39:15,1,22,0,0.12903225806451613,3,0.3896551724137931,0.0,0.005881368317245673,2024-11-04 08:07:06,1
0.09107146758723154,2023-02-13 16:53:57,1,21,2,0.0,3,0.4275862068965517,0.0,0.01329206717760872,2024-11-04 08:10:09,1
0.25409665931088726,2023-12-12 16:23:31,1,10,0,0.29032258064516125,1,0.4103448275862069,0.0,0.22609488302806105,2024-11-04 08:12:19,1
0.3034477484760427,2023-10-30 16:52:49,0,2,1,0.016129032258064557,3,0.5103448275862069,0.0,0.06917683027254352,2024-11-04 08:07:35,1
0.26910681902597827,2023-12-14 18:32:14,1,8,2,0.33870967741935487,1,0.7724137931034483,0.0,0.33663892808381946,2024-11-04 08:11:51,1
0.010061395267539165,2023-02-21 16:56:50,0,0,1,0.6612903225806451,2,0.3310344827586207,0.0,0.5274456012084064,2024-11-04 08:12:01,2
0.03890187681618563,2023-06-08 18:18:50,0,8,2,0.0,3,0.5482758620689655,0.0,0.43469220794324204,2024-11-04 08:09:20,1
